cve_id,date_published,primary_vendor,primary_cwe,cvss_score,priority_probability,title,description
CVE-2025-48083,2025-11-06 15:53:40.546000+00:00,andriassundskard,CWE-352,7.1,0.033756531516174096,WordPress wpNamedUsers plugin <= 0.5 - Cross Site Request Forgery (CSRF) to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in andriassundskard wpNamedUsers wpnamedusers allows Stored XSS.This issue affects wpNamedUsers: from n/a through <= 0.5.
CVE-2025-26562,2025-02-13 13:52:55.094000+00:00,Shambhu Patnaik,CWE-352,7.1,0.03398636399299859,WordPress RSS FIlter Plugin <= 1.2 - CSRF to Stored Cross Site Scripting (XSS) vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Shambhu Patnaik RSS Filter rss-filter allows Stored XSS.This issue affects RSS Filter: from n/a through <= 1.2.
CVE-2025-23502,2025-03-03 13:30:08.116000+00:00,Ned,CWE-352,7.1,0.03418578293093411,WordPress Curated Search plugin <= 1.2 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Ned Curated Search curated-search allows Stored XSS.This issue affects Curated Search: from n/a through <= 1.2.
CVE-2025-23659,2025-01-16 20:06:29.779000+00:00,hernanjh,CWE-352,7.1,0.03432907337815656,WordPress MercadoLibre Integration plugin <= 1.1 - CSRF to Stored Cross-Site Scripting vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in hernanjh MercadoLibre Integration mercadolibre-integration allows Stored XSS.This issue affects MercadoLibre Integration: from n/a through <= 1.1.
CVE-2025-23572,2025-01-16 20:06:18.969000+00:00,Dave Konopka,CWE-352,7.1,0.03465140674230858,WordPress UpDownUpDown plugin <= 1.1 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Dave Konopka UpDownUpDown updownupdown-postcomment-voting allows Stored XSS.This issue affects UpDownUpDown: from n/a through <= 1.1.
CVE-2025-49344,2025-12-31 05:25:58.689000+00:00,reneade,CWE-352,7.1,0.03615883766311588,WordPress SensitiveTagCloud plugin <= 1.4.1 - Cross Site Request Forgery (CSRF) vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in reneade SensitiveTagCloud sensitive-tag-cloud allows Stored XSS.This issue affects SensitiveTagCloud: from n/a through <= 1.4.1.
CVE-2025-32559,2025-04-09 16:09:36.597000+00:00,REVE Chat,CWE-352,7.1,0.03621681548008308,WordPress REVE Chat plugin <= 6.4.4 - Cross Site Request Forgery (CSRF) vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in REVE Chat REVE Chat revechat allows Stored XSS.This issue affects REVE Chat: from n/a through <= 6.4.4.
CVE-2025-23818,2025-01-16 20:07:11.449000+00:00,pyko,CWE-352,7.1,0.036231736310335,WordPress More Link Modifier plugin <= 1.0.3 - CSRF to Cross-Site Scripting vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in pyko More Link Modifier more-link-modifier allows Stored XSS.This issue affects More Link Modifier: from n/a through <= 1.0.3.
CVE-2025-48320,2025-08-28 12:36:56.810000+00:00,cuckoohello,CWE-352,7.1,0.03624689773219264,WordPress 百度分享按钮 plugin <= 1.0.6 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in cuckoohello 百度分享按钮 baidushare-wp allows Stored XSS.This issue affects 百度分享按钮: from n/a through <= 1.0.6.
CVE-2025-22328,2025-01-07 10:48:47.163000+00:00,Elevio by Dixa,CWE-352,7.1,0.03654288570223482,WordPress Elevio plugin <= 4.4.1 - CSRF to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Elevio by Dixa Elevio elevio allows Stored XSS.This issue affects Elevio: from n/a through <= 4.4.1.
CVE-2025-23627,2025-01-16 20:06:26.369000+00:00,frenchsquared,CWE-352,7.1,0.03671913902266588,WordPress Comment-Emailer plugin <= 1.0.5 - CSRF to Stored Cross-Site Scripting vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in frenchsquared Comment-Emailer comment-emailer allows Stored XSS.This issue affects Comment-Emailer: from n/a through <= 1.0.5.
CVE-2025-68885,2025-12-31 05:34:27.042000+00:00,page-carbajal,CWE-352,7.1,0.037159960430904915,WordPress Custom Post Status plugin <= 1.1.0 - Cross Site Request Forgery (CSRF) to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in page-carbajal Custom Post Status custom-post-status allows Stored XSS.This issue affects Custom Post Status: from n/a through <= 1.1.0.
